,column_name,memory_abs_mb,memory_per,dtype
0,overview,182.4189453125,30.7912,object
1,cast,69.9658203125,11.8098,object
2,original_title,49.416015625,8.3412,object
3,title,46.1572265625,7.791,object
4,poster_path,42.978515625,7.2545,object
5,tconst,38.09375,6.43,object
6,writers,31.30078125,5.2834,category
7,backdrop_path,20.78125,3.5078,category
8,production_companies,18.4267578125,3.1104,category
9,keywords,18.4150390625,3.1084,category
10,directors,17.2666015625,2.9145,category
11,tagline,12.9013671875,2.1777,category
12,homepage,9.201171875,1.5532,category
13,release_date,5.8359375,0.9851,category
14,id,2.6064453125,0.4401,uint32
15,revenue,2.6064453125,0.4401,uint32
16,budget,2.6064453125,0.4401,uint32
17,numVotes,2.6064453125,0.4401,uint32
18,vote_average,2.6064453125,0.4401,float32
19,popularity,2.6064453125,0.4401,float32
20,averageRating,2.6064453125,0.4401,float32
21,genres,2.3828125,0.4022,category
22,production_countries,2.19921875,0.3713,category
23,spoken_languages,1.8671875,0.3153,category
24,original_language,1.314453125,0.222,category
25,vote_count,1.302734375,0.22,uint16
26,runtime,1.302734375,0.22,uint16
27,status,0.6513671875,0.1101,category
