,column_name,memory_abs_mb,memory_per,dtype
0,overview,182.4189453125,19.8006,object
1,cast,69.9658203125,7.5944,object
2,writers,54.693359375,5.9367,object
3,original_title,46.7138671875,5.0706,object
4,title,45.2255859375,4.9091,object
5,poster_path,42.978515625,4.6651,object
6,directors,41.53125,4.508,object
7,tconst,38.09375,4.1349,object
8,status,37.1865234375,4.0364,object
9,production_companies,34.4052734375,3.7346,object
10,release_date,34.01171875,3.6918,object
11,genres,33.8017578125,3.6691,object
12,original_language,33.2421875,3.6083,object
13,backdrop_path,32.00390625,3.4738,object
14,production_countries,31.8984375,3.4625,object
15,keywords,31.197265625,3.3864,object
16,spoken_languages,30.4287109375,3.3029,object
17,tagline,29.568359375,3.2096,object
18,homepage,24.326171875,2.6405,object
19,id,5.2138671875,0.566,int64
20,vote_average,5.2138671875,0.566,float64
21,vote_count,5.2138671875,0.566,int64
22,revenue,5.2138671875,0.566,int64
23,runtime,5.2138671875,0.566,int64
24,budget,5.2138671875,0.566,int64
25,popularity,5.2138671875,0.566,float64
26,averageRating,5.2138671875,0.566,float64
27,numVotes,5.2138671875,0.566,int64
28,adult,0.6513671875,0.0708,bool
